Provider Name,State,City,Claims Paid for Testing,Claims Paid for Treatment,Claims Paid for Vaccine,Georeferenced Column,States,Counties
EMERGENCY MEDICAL TRAN,MA,WORCESTER,0,15267,0,POINT (-71.802278 42.262073),25,1919
WATSON CLINIC LLP,FL,LAKELAND,1925,5199,0,POINT (-81.954113 28.040507),30,1082
CHEST AND SLEEP MEDICI,IL,LIBERTYVILLE,0,50334,0,POINT (-74.654329 41.239818),46,2586
SOUTHEASTERN PHYSICIAN,TN,JOHNSON CITY,0,282,0,POINT (-82.342538 36.320614),39,702
BAPTIST HEALTH MEDICAL,FL,MIAMI BEACH,0,867,0,POINT (-80.134852 25.792236),,1074
UNIVERSITY MEDICAL CEN,AL,NORTHPORT,303,76,0,POINT (-87.577129 33.229298),29,1639
NORTHEAST MEDICAL GROU,CT,WESTBROOK,0,0,560,POINT (-72.441654 41.283357),24,1043
DUKE UNIV AFFIL PHYSIC,NC,CARY,3523,737,398,POINT (-78.781139 35.791444),37,3158
ALTRU HEALTH SYSTEM,MN,WARROAD,6955,357,400,POINT (-95.314404 48.905266),1,1510
PARKVIEW PHYSICIANS GR,IN,FORT WAYNE,73,0,0,POINT (-85.137495 41.077474),35,1839
ICH EPG ALLIANCE LLC,KY,STANFORD,26151,2984,0,POINT (-84.661888 37.53119),36,248
ST FRANCIS MEDICAL GRO,IN,GREENWOOD,191,73481,0,POINT (-86.117876 39.613576),35,156
MIDWEST PULMONARY CRIT,IL,OAK LAWN,828,263837,0,POINT (-87.750562 41.719979),34,1863
EQUITAS HEALTH,TN,CHATTANOOGA,381,0,0,POINT (-85.308287 35.045756),39,2049
MERCY CLINIC PHYSICAL,MO,O FALLON,217,249,0,POINT (-90.699957 38.808644),18,2177
CMC DEPARTMENT OF MEDI,NJ,CHERRY HILL,0,110,0,POINT (-75.030928 39.925801),46,2448
SOMA MEDICAL CENTER PA,FL,LAKE WORTH BEACH,0,0,1011,POINT (-80.058568 26.609859),,52
MAGNOLIA CARDIOVASCULA,MS,CORINTH,0,1620,0,POINT (-88.520628 34.934366),32,396
COMMUNITY MEDICAL ASSO,KY,LOUISVILLE,629,81936,806,POINT (-85.751569 38.256078),36,1327
SYMBRIA RX SERVICES GR,OH,BEACHWOOD,0,0,58000,POINT (-81.49784 41.479306),38,2515
UNIVERSAL GENETICS LLC,CA,MONROVIA,184202,0,0,POINT (-118.000929 34.14591),8,1195
BEN J ODELL MD,KY,ASHLAND,0,1080,0,POINT (-82.646675 38.475807),38,1925
DMS SPECIALTY SERVICES,FL,BOCA RATON,61803,96,0,POINT (-80.089831 26.35052),30,52
VARIETY CARE INC,OK,GRANDFIELD,620,110,0,POINT (-98.683416 34.23188),20,2272
HIGHLAND PHARMACY INC,KY,GLASGOW,53440,5351,3816,POINT (-85.911869 36.995839),36,1877
KWOCK MEDICAL SERVICES,HI,HONOLULU,0,2011,0,POINT (-157.858158 21.30992),4,1657
CURL AND CLARK,MS,HOLLY SPRINGS,0,133,0,POINT (-89.444805 34.767501),32,2541
COMMUNITY MEDICAL CENT,CA,MANTECA,0,994,2600,POINT (-121.221302 37.802408),8,1181
GIANT EAGLE INC,PA,VERONA,0,0,8552,POINT (-79.843219 40.504004),48,2455
NORTHWEST RADIOLOGY AS,NJ,DOVER,0,20,0,POINT (-74.55945 40.884095),46,2492
OSU FAMILY PRACTICE SE,OH,COLUMBUS,98,1524,24546,POINT (-82.996216 39.962649),38,2520
AZFAR CHAK MD,NY,NYACK,0,10792,0,POINT (-73.918239 41.090984),47,628
TIPPAH COUNTY HOSPITAL,MS,RIPLEY,249930,77170,320,POINT (-88.949081 34.730364),32,505
NITIN M CHOPDE MD,MD,LAUREL,240,0,760,POINT (-76.848374 39.099535),45,1815
X RAY MEDICAL GROUP IN,CA,LA MESA,10,4299,0,POINT (-117.024725 32.766157),8,1179
DUQUESNE UNIVERSITY,PA,PITTSBURGH,81162,69,0,POINT (-79.994945 40.442169),48,2455
HAYES BARTON PHARMACY,NC,RALEIGH,8480,0,22944,POINT (-78.64167 35.781295),37,3158
CONCORD CHILDRENS CLIN,NC,CONCORD,252,0,753,POINT (-80.579179 35.408672),37,636
BLOOMINGTON MEDICAL SE,OH,WOOSTER,2786,36975,0,POINT (-81.939946 40.79818),38,601
NORTHERN ARIZONA HEALT,AZ,COTTONWOOD,5660,15946,0,POINT (-112.027798 34.732323),7,944
BELLEFONTE PHYSICIAN S,KY,ASHLAND,196,0,0,POINT (-82.646675 38.475807),38,1925
MODESTO RADIOLOGICAL M,CA,SAN FRANCISCO,11,38,0,POINT (-122.420168 37.78008),8,1180
HIGH COUNTRY COMMUNITY,NC,ELKIN,16585,2980,23456,POINT (-80.851666 36.248106),37,2481
CAROLINA NEPHROLOGY PA,SC,CLINTON,0,9665,0,POINT (-81.880784 34.47264),33,2527
WILLARD A SNYDER JR MD,GA,BRUNSWICK,0,105,3032,POINT (-81.50248 31.168992),31,184
PHYSICIAN GROUP OF ARK,AR,HOPE,0,4335,0,POINT (-93.591517 33.66702),15,1024
OSF MEDICAL GROUP OSF,IL,EVERGREEN PARK,2082,325797,0,POINT (-87.703107 41.722554),34,1863
FLORIDA KIDNEY PHYSICI,FL,TAMPA,0,1053,0,POINT (-82.458776 27.947423),30,1107
MEDCARE HEALTH INC,NY,BROOKLYN,2120,0,1240,POINT (-73.990996 40.692529),,2090
ALLEN MEMORIAL HOSPITA,IA,GRUNDY CENTER,29,29,0,POINT (-92.768301 42.361475),16,280
CENTRAL JERSEY URGENT,NJ,OCEAN,3134,535,4800,POINT (-74.032533 40.242529),46,2491
ST FRANCIS HOUSE NWA I,AR,SPRINGDALE,274656,71058,14362,POINT (-94.138521 36.185104),15,70
BETHESDA CLINIC,TN,CLIFTON,23589,26195,1560,POINT (-87.993879 35.383282),39,2160
DUPLIN COUNTY HEALTH D,NC,KENANSVILLE,48696,42625,22764,POINT (-77.961988 34.961781),37,2335
BELLEVUE HOSPITAL CENT,NY,NEW YORK,12011,821,0,POINT (-74.007228 40.713054),46,2095
NILE CITY PHARMACY INC,NY,ASTORIA,192,13555,0,POINT (-73.930603 40.7719),47,2137
PAUL J RUWE INC,KY,COVINGTON,0,0,3080,POINT (-84.508483 39.083687),36,1329
ALLINA HEALTH SYSTEM,MN,SAINT PAUL,1498,1554,0,POINT (-93.094281 44.943719),1,1506
ST LUKES PHYSICIAN GRO,PA,NAZARETH,316,612,0,POINT (-75.311925 40.740616),48,2599
HINTON HEALTHCARE GROU,IL,BELLEVILLE,80,0,360,POINT (-89.984229 38.512629),34,1797
PAFFORD EMERGENCY MEDI,MS,CLARKSDALE,0,153513,0,POINT (-90.57496 34.202624),32,1602
INDIANA NEPHROLOGY AND,IN,NOBLESVILLE,0,3131,0,POINT (-86.012241 40.045604),35,2238
MASTER MARK NP PLLC,AZ,MESA,1804,314,0,POINT (-111.831498 33.41514),7,989
DELCO DRUGS AND SPECIA,NY,STATEN ISLAND,80,0,14470,POINT (-74.076203 40.643498),46,
JB PHARMACY INC,CO,PUEBLO,0,0,11091,POINT (-104.610415 38.265425),9,34
JEFFERSON UNIVERSITY P,NJ,STRATFORD,0,205,0,POINT (-75.012523 39.834483),46,2448
FOOTHILL EMERGENCY MED,CA,SAN GABRIEL,20532,2771,0,POINT (-118.107229 34.099203),8,1195
CLINIC PHARMACY,IA,IOWA FALLS,0,0,5160,POINT (-93.265461 42.519636),16,1786
PEMISCOT MEMORIAL HEAL,MO,KENNETT,0,0,40,POINT (-90.05686 36.236708),18,1957
APOLLO HEALTH NETWORK,FL,MIAMI,108402,1294,0,POINT (-80.194702 25.775084),30,1074
APOGEE MED GRP SC PC,SC,MOUNT PLEASANT,0,145706,0,POINT (-79.8765 32.790438),33,1968
MASSACHUSETTS GENERAL,MA,BOSTON,910394,3807299,180480,POINT (-71.056742 42.358894),25,1918
HOSPITAL MEDICINE SERV,MO,JEFFERSON CITY,0,5426,0,POINT (-92.187689 38.577896),18,2702
CLARION HOSPITAL,PA,CLARION,30680,41332,4393,POINT (-79.380948 41.211475),48,2497
LA JOLLA OBSERVATION M,CA,LA JOLLA,1396,0,0,POINT (-117.2733 32.847198),,
WAYNE GENERAL HOSPITAL,MS,JACKSON,0,295,0,POINT (-90.183488 32.302897),32,1645
EMIOLA ASEMOTA,NJ,VENTNOR CITY,2063,412,0,POINT (-74.481191 39.338709),,2446
ARKANSAS CHILDRENS HOS,AR,LITTLE ROCK,0,101,0,POINT (-92.275105 34.748745),15,998
ANDES HEALTH MART,IL,EFFINGHAM,600,0,4086,POINT (-88.54561 39.118299),34,229
GRUBBS PHARMACY OF DC,DC,WASHINGTON,760,0,18222,POINT (-77.019912 38.892062),44,1049
CRAIG S CARTER MD FACS,NC,CLAYTON,0,2464,0,POINT (-78.459919 35.653224),37,645
FALLS TOWNSHIP VOLUNTE,OH,ZANESVILLE,0,2108,0,POINT (-82.003967 39.939998),38,2615
HENRY FORD HEALTH SYST,MI,DETROIT,76,673,236,POINT (-83.047853 42.332916),50,1345
MORTON PLANT MEASE PRI,FL,TAMPA,605,0,127,POINT (-82.458776 27.947423),30,1107
LEXINGTON HEALTH INC,SC,CAYCE,107,98,0,POINT (-81.080225 33.961486),33,2528
PROCTOR HEALTH SYSTEMS,IL,PEORIA HEIGHTS,0,134,0,POINT (-89.573971 40.746305),34,1757
D AND G ADVENTURES,NC,FARMVILLE,1000,0,23300,POINT (-77.587372 35.595097),37,2439
UC SAN DIEGO HEALTH CO,CA,SAN DIEGO,592,0,0,POINT (-117.163817 32.71576),8,1179
COLORADO URGENT CARE P,CO,BROOMFIELD,2017239,315507,0,POINT (-105.081661 39.923985),9,86
BBH WBMC LLC,AL,JASPER,303731,697056,0,POINT (-87.278701 33.831291),29,1640
CHRIST COMMUNITY HEALT,TN,MEMPHIS,72,7342,47117,POINT (-90.052136 35.143378),39,2111
HUDSON HEALTHCARE EXPR,NJ,NORTH BERGEN,473108,5127,2408,POINT (-74.023344 40.793499),46,488
ALLIANCE COMMUNITY HOS,OH,ALLIANCE,238203,203309,14228,POINT (-81.105844 40.9125),38,2626
MISSISSIPPI HMA HOSPIT,MS,CANTON,0,39504,0,POINT (-90.03489 32.61386),32,2540
VARSHA PHARMACY INC,NY,SELDEN,440,0,2343,POINT (-73.047662 40.863803),47,2179
UMASS MEMORIAL MEDICAL,MA,NORTHBOROUGH,663,303,0,POINT (-71.642696 42.305189),25,1919
ANNA HOSPITAL CORPORAT,IL,ANNA,13118,23691,16,POINT (-89.243592 37.462002),34,1803
ST LUKES PHYSICIAN GRO,PA,PALMER TOWNSHIP,1495,1298,0,POINT (-75.267899 40.685501),48,2599
BOSONS PHARMACEUTICAL,MD,SILVER SPRING,480,0,15241,POINT (-77.028121 38.996088),45,1814
ELIZABETH DEWEY MD,NC,GREENSBORO,635,234,0,POINT (-79.793899 36.072701),37,643
NORTHEAST FLORIDA HEAL,FL,DELAND,178827,8198,30790,POINT (-81.29927 29.028093),30,1091
OREGON LUNG SPECIALIST,OR,SPRINGFIELD,0,916,0,POINT (-123.022054 44.046191),12,2371
PAWHUSKA HOSPITAL INC,OK,PAWHUSKA,65,611,0,POINT (-96.340135 36.663441),20,2262
SINGING RIVER RADIOLOG,MS,OCEAN SPRINGS,1481,8022,0,POINT (-88.798599 30.412463),32,1649
BUTLER PHYSICIAN SERVI,MO,POPLAR BLUFF,0,53145,0,POINT (-90.402334 36.764901),18,2693
CHATTANOOGA EMERGENCY,TN,HIXSON,2559,657,0,POINT (-85.232803 35.140598),39,2049
RURAL HEALTH CARE INC,SD,CHAMBERLAIN,61,0,0,POINT (-99.330913 43.80997),21,2630
DAUGHTERS OF CHARITY,LA,NEW ORLEANS,3782,0,762,POINT (-90.074948 29.950621),22,1667
MYS LLC,OH,HAMILTON,520,0,9361,POINT (-84.558797 39.398871),38,2510
CHOLANKERIL MEDICAL AS,NJ,ELIZABETH,0,6603,0,POINT (-74.211653 40.661927),46,2532
PROMED HEALTH PLLC,NC,CHARLOTTE,82,0,11078,POINT (-80.840161 35.222936),37,2429
ST MARYS MEDICAL GROUP,KY,HENDERSON,357,618,0,POINT (-87.590825 37.836281),36,1323
MANNINOS FAMILY PRACTI,LA,HAMMOND,360,0,6056,POINT (-90.458285 30.503682),22,271
WESTERN WAKE INTERNAL,NC,CARY,160,851,0,POINT (-78.781139 35.791444),37,3158
BORREGO COMMUNITY HEAL,CA,RIVERSIDE,40,79,13704,POINT (-117.377025 33.980534),8,1177
SARASOTA COUNTY BOARD,FL,SARASOTA,0,18343,0,POINT (-82.538602 27.336483),30,1086
QUANTUM PLUS,CO,CANON CITY,9893,4465,0,POINT (-105.23489 38.442184),9,1448
EMERSON HOSPITAL,MA,CONCORD,46823,15828,0,POINT (-71.355036 42.459041),25,1915
MERCYONE MEDICAL GROUP,IA,WAUKEE,6535,1378,56,POINT (-93.885632 41.611984),16,1746
BAPTIST HEALTH MEDICAL,IN,CORYDON,529,104,0,POINT (-86.126305 38.212238),35,1855
BELFON HEALTH AND AEST,FL,MIRAMAR,28010,0,480,POINT (-80.301479 25.985256),30,1054
ASSURE LABORATORIES,SC,GREENVILLE,1371057,30248,0,POINT (-82.398964 34.850746),33,654
6 PALO ALTO MEDICAL FO,CA,SAN MATEO,264,0,0,POINT (-122.314351 37.547166),8,1333
BATON ROUGE BLACK ALCO,LA,BATON ROUGE,0,0,240,POINT (-91.187488 30.443319),22,1582
CROSSROADS URGENT CARE,TN,LENOIR CITY,6563,1413,0,POINT (-84.259618 35.805153),39,2056
COMMUNITY HEALTHCARE N,NY,BRONX,625,0,0,POINT (-73.920265 40.826153),47,2032
FAIRVIEW EXPRESS CARE,MN,MINNEAPOLIS,0,315,0,POINT (-93.264346 44.977479),1,1406
NICHOLAS H NOYES MEMOR,NY,DANSVILLE,88840,91929,1216,POINT (-77.694653 42.559678),47,2091
LAS CRUCES PHYSICAL PR,NM,LAS CRUCES,0,271,305,POINT (-106.780434 32.316215),11,2724
USACS OF CONNECTICUT L,CT,BRISTOL,53640,15640,0,POINT (-72.945791 41.673037),24,1041
VISIONARY CTS LLC,MO,SAINT CHARLES,0,0,188702,POINT (-90.486926 38.781153),18,2177
MERRIMACK RADIOLOGY CR,MA,LOWELL,0,12,0,POINT (-71.3074 42.645426),25,1915
MARYLAND GENERAL,MD,BALTIMORE,44542,84261,0,POINT (-76.612333 39.290443),45,1857
LOURDES HOSPITAL,NY,WHITNEY POINT,182,108,0,POINT (-75.965653 42.329047),47,2033
PURDUE UNIVERSITY STUD,IN,MONON,736,172,360,POINT (-86.878888 40.868021),35,1362
MD24 INC,AZ,SURPRISE,1094478,15025,123680,POINT (-112.330171 33.628998),7,989
ERIE FAMILY HEALTH CEN,IL,CHICAGO,920,228,0,POINT (-87.632398 41.883229),34,1863
UNIVERSITY OF PGH PHYS,PA,MONROEVILLE,4172,3180,0,POINT (-79.79027 40.424653),48,2455
CHOTA COMMUNITY HEALTH,TN,VONORE,144563,13622,17420,POINT (-84.23625 35.590567),39,2063
CLEVELAND CLINIC,OH,LORAIN,838,516,0,POINT (-82.178231 41.468267),38,2573
NORTON HOSPITAL INC,KY,LOUISVILLE,227,390881,0,POINT (-85.751569 38.256078),36,1327
HERINGTON MUNICIPAL HO,KS,HILLSBORO,141,36,0,POINT (-97.20609 38.350735),17,1244
COLUMBIA EMERGENCY MED,CA,LONG BEACH,184601,35339,0,POINT (-118.193723 33.767168),8,1195
EVA CHAN MD,CA,WEST COVINA,1960,0,11120,POINT (-117.938239 34.068896),8,1195
THE CHARLOTTE MECKLENB,NC,DAVIDSON,0,296,40,POINT (-80.848485 35.49925),37,2429
PIONEER PHYSICIANS NET,OH,UNIONTOWN,0,89,0,POINT (-81.406968 40.976108),38,2626
TMC WOODLAND FAMILY HE,AL,WOODLAND,0,45,0,POINT (-85.39737 33.373825),29,104
GUTHRIE CLINIC,PA,WYALUSING,79,0,160,POINT (-76.25978 41.66821),48,728
FAMILY HEALTHCARE NETW,CA,THREE RIVERS,59,0,0,POINT (-118.885141 36.457312),8,81
ALLEN MEMORIAL HOSPITA,IA,CEDAR FALLS,0,0,5415,POINT (-92.4534 42.537809),16,176
ST VINCENT MEDICAL GRO,AR,LITTLE ROCK,51,84,31587,POINT (-92.275105 34.748745),15,998
WYANDOTTE PHARMACY,MI,WYANDOTTE,320,0,4531,POINT (-83.150254 42.201008),50,1345
MERCY PHYSICIAN SERVIC,IA,CEDAR RAPIDS,969,638,0,POINT (-91.669808 41.978122),16,287
OAKLAND MERCY HOSPITAL,NE,OAKLAND,2717,204,396,POINT (-96.463432 41.834532),19,2195
JOHNSON MEMORIAL HOSPI,CT,STAFFORD SPRINGS,59565,36060,5316,POINT (-72.302901 41.953931),24,38
ACCLAIM PHYSICIAN GROU,MO,BLUE SPRINGS,139,4826,0,POINT (-94.276029 39.0239),18,525
SOUTHERN BANK EMERGENC,NJ,NEW BRUNSWICK,190924,86402,0,POINT (-74.444139 40.495921),46,2490
NUCARA PHARMACY,IA,CORALVILLE,0,0,336,POINT (-91.577768 41.672677),16,1792
IV STAT INC,FL,FORT WALTON BEACH,0,0,3273,POINT (-86.613219 30.404156),30,1076
AEGIS HEALTH SERVICES,MD,ELLICOTT CITY,61871,852,0,POINT (-76.798018 39.267467),45,421
ABINGTON MEMORIAL HOSP,PA,SOUTHAMPTON,819,0,0,POINT (-75.043818 40.174478),48,2458
ST PATRICK HOSPITAL AN,MT,MISSOULA,244515,442775,80,POINT (-113.994017 46.872129),2,2098
AUSTIN REGIONAL CLINIC,PA,BERWYN,11891,603,829,POINT (-75.441214 40.045179),48,2496
BENTON DISCOUNT PHARMA,KY,BENTON,0,0,40,POINT (-88.348668 36.857175),36,251
UNITED PHYSICIAN GROUP,GA,HAMPTON,41460,32980,0,POINT (-84.283312 33.383374),31,1415
IHA HEALTH SERVICES CO,MI,CANTON,114,0,0,POINT (-83.486713 42.297972),50,1345
PULMONARY AND CRITICAL,MD,HAVRE DE GRACE,0,30080,0,POINT (-76.091628 39.547662),45,1813
AFFINITY PHYSICIANS LL,RI,LINCOLN,46,100,0,POINT (-71.445401 41.926671),27,2660
PAYLESS PHARMACY EXPRE,AL,DECATUR,0,0,4560,POINT (-86.979986 34.605557),29,103
ROBERT WOOD JOHNSON ME,NJ,SOMERSET,359,85,0,POINT (-74.522971 40.498331),46,490
SOUTH CENTRAL REGIONAL,MS,LAUREL,892978,1568416,0,POINT (-89.12937 31.691551),32,407
LOOKOUT HEALTH CORP,CA,REDWOOD CITY,3920,0,84469,POINT (-122.22815 37.484778),8,1333
BELEW DRUG WASHINGTON,TN,KNOXVILLE,0,0,6099,POINT (-83.916677 35.962631),39,2013
MERCY HOSPITAL TISHOMI,OK,TISHOMINGO,63159,37963,0,POINT (-96.679407 34.235911),20,706
IANDB MEDICAL ASSOCIAT,FL,MIAMI,0,0,114040,POINT (-80.194702 25.775084),30,1074
WEST FL PHYSICIANS NET,FL,PORT CHARLOTTE,0,81,0,POINT (-82.101078 26.981878),30,1055
RIVERSIDE PEDIATRIC GR,NJ,SECAUCUS,901,0,68220,POINT (-74.067857 40.778204),46,488
SUNSET COMMUNITY HEALT,AZ,WELLTON,0,58,0,POINT (-114.142212 32.672676),7,945
ABINGTON EMERGENCY PHY,PA,LANSDALE,8819,2687,0,POINT (-75.28374 40.241561),48,2561
MOUNT CARMEL HEALTH PR,OH,POWELL,0,0,398,POINT (-83.075182 40.158024),38,579
CONERSTONE PHARMACY JA,AR,JACKSONVILLE,320,0,6446,POINT (-92.10974 34.867756),15,998
PARADIGM LABS LLC,GA,SAINT SIMONS ISLAND,0,0,40,POINT (-81.395379 31.136924),,184
ORLANDCARE PHARMACY AN,CA,ORLAND,0,0,1000,POINT (-122.195462 39.747352),8,73
SIOUX FALLS SURGICAL H,SD,SIOUX FALLS,12761,2188,834,POINT (-96.743185 43.488765),21,2684
HOMETOWN PHARMACY INC,MI,ANN ARBOR,120,0,960,POINT (-83.748478 42.281419),50,366
TERRY BENNETT,AL,ARAB,0,0,2623,POINT (-86.49582 34.316833),29,1590
EMERGIGROUP PHYSICIAN,OK,OKLAHOMA CITY,59655,7433,0,POINT (-97.521264 35.468494),20,712
BROAD AND SNYDER PHARM,PA,PHILADELPHIA,1080,0,55564,POINT (-75.16562 39.951061),48,2602
I V MEDICINES INC,MS,NATCHEZ,0,0,1640,POINT (-91.405318 31.561592),32,1562
VICTORIA FAMILY PRACTI,GA,STATESBORO,1232,0,0,POINT (-81.777753 32.44877),31,1154
ST MARYS HOSPITAL AND,CO,GRAND JUNCTION,24054,995849,0,POINT (-108.570816 39.067379),9,1015
MICHIGAN URINE TOXICOL,MI,SAGINAW,1112286,0,0,POINT (-83.946359 43.419547),50,1312
JAYSIX ENTERPRISES LLC,NM,ALBUQUERQUE,0,0,3984,POINT (-106.649241 35.084248),11,491
BIO MEDICAL APPLICATIO,GA,SAVANNAH,0,0,37,POINT (-81.090103 32.08059),31,1160
VAIL VALLEY MEDICAL CE,CO,AVON,153,648,0,POINT (-106.522252 39.63228),9,1446
J AND R CONSULTING SER,KY,BENTON,40,0,9687,POINT (-88.348668 36.857175),36,251
FREEMAN PHYSICIAN GROU,MO,LAMAR,1643,293,0,POINT (-94.272707 37.493115),18,2650
ANMED HEALTH,GA,HARTWELL,160,159,0,POINT (-82.93308 34.352684),31,1414
SURGICAL CARE SPECIALI,PA,ABINGTON,0,1112,0,POINT (-75.116999 40.115354),48,2561
MICHAEL S AGRON MD INC,CA,ARCADIA,45458,12206,0,POINT (-118.040889 34.136534),8,1195
GREESON RX LLC,GA,POOLER,0,0,32087,POINT (-81.249549 32.113801),31,1160
MICHAEL R DIBENEDETTO,ID,PONDERAY,636,364,0,POINT (-116.535992 48.304346),5,1689
SOUTHWEST KIDNEY INSTI,AZ,CAREFREE,0,1440,0,POINT (-111.921163 33.820978),7,989
JOHN ED CHAMBERS MEMOR,AR,DANVILLE,12046,33062,0,POINT (-93.393518 35.053979),15,1140
GIANT EAGLE INC TAMARK,OH,CUYAHOGA FALLS,0,0,12943,POINT (-81.484254 41.136394),38,2661
THE CRAYTON MITCHELL G,FL,ROCKLEDGE,0,0,2560,POINT (-80.717462 28.324494),30,1053
BUENO PHARMACY LLC,FL,SANFORD,0,0,21773,POINT (-81.273111 28.800795),30,1087
GASTON FAMILY HEALTH S,NC,WINSTON SALEM,0,92,0,POINT (-80.243735 36.096261),37,2337
BRASELTON URGENT CARE,GA,BRASELTON,250887,21642,0,POINT (-83.76243 34.107049),31,1417
CONWAY REGIONAL MEDICA,AR,CONWAY,1249,840,3254,POINT (-92.4367 35.091798),15,1019
UNIVERSITY HOSPITALS M,OH,BEDFORD,17,0,0,POINT (-81.534817 41.393876),38,2515
NORTHERN MONMOUTH COUN,NJ,WALL TOWNSHIP,0,39,0,POINT (-74.098565 40.160743),46,2491
JOHN C LINCOLN LLC,AZ,PHOENIX,118,597,0,POINT (-112.072585 33.448204),7,989
FRESENIUS MEDICAL CARE,NJ,SICKLERVILLE,0,0,40,POINT (-74.969704 39.717201),46,2448
DELMONT MEDICAL CARE,NY,WESTBURY,0,0,1560,POINT (-73.600761 40.759408),47,2094
MARICOPA INTEGRATED HE,AZ,PHOENIX,714373,3001802,169391,POINT (-112.072585 33.448204),7,989
SOUTH SHORE CARDIOVASC,FL,BRANDON,0,4845,0,POINT (-82.288477 27.937659),30,1107
BEVERLYCARE,CA,MONTEBELLO,243,256,70491,POINT (-118.116473 34.019457),8,1195
DOMINICAN MEDICAL FOUN,CA,BOULDER CREEK,43,0,0,POINT (-122.122347 37.125352),8,1335
JASON FLETCHER DO A ME,CA,LONG BEACH,0,110,0,POINT (-118.193723 33.767168),8,1195
COMMUNITY MEMORIAL HEA,KS,BLUE RAPIDS,0,59,0,POINT (-96.659254 39.682952),17,327
MICHAEL DAVIS MD,CA,MANTECA,0,4964,0,POINT (-121.221302 37.802408),8,1181
GARDEN VALLEY FIRE PRO,ID,GARDEN VALLEY,0,3087,0,POINT (-115.953729 44.091493),5,1688
HOLSTON MEDICAL GROUP,TN,KINGSPORT,16473,5770,860,POINT (-82.540855 36.538956),39,2114
BEAUMONT MEDICAL GROUP,MI,SOUTHFIELD,0,1507,0,POINT (-83.240756 42.477952),50,1307
HEALTH CARE CENTER FOR,FL,ORLANDO,4679,588,125868,POINT (-81.378879 28.538331),30,1078
INTELLIGENECG CANCER G,KS,STILWELL,215764,0,0,POINT (-94.656097 38.769199),17,1237
HPMG OF ILLINOIS LLC,IL,MCHENRY,0,27955,0,POINT (-88.27339 42.344597),34,1722
DLP FRYE MEDICAL GROUP,NC,CONOVER,8291,1823,0,POINT (-81.21853 35.711493),37,2286
EUROFINS NTD LLC,NY,MELVILLE,13100,14200,0,POINT (-73.415176 40.793864),47,2179
CITYLIFE NJ LLC,NJ,TRENTON,1319,0,0,POINT (-74.759709 40.220572),46,2489
SUTTER COAST HOSPITAL,CA,CRESCENT CITY,309895,147177,1103,POINT (-124.204373 41.754772),,1186
LIMA MEMORIAL PROFESSI,OH,RUSSELLS POINT,1332,205,0,POINT (-83.892 40.468475),38,588
PREMIER PEDIATRICS LLC,FL,OCALA,51221,1860,6480,POINT (-82.137789 29.189311),30,50
CAROLINAS PHYSICIANS N,NC,WESLEY CHAPEL,22,177,0,POINT (-80.672385 35.010309),37,551
FRONTIER HEALTHCARE SY,IL,CHICAGO,0,0,742,POINT (-87.632398 41.883229),34,1863
ROSELLE PARK RITA PHAR,NJ,ROSELLE PARK,440,0,2564,POINT (-74.264792 40.665363),46,2532
ALABAMA STATE UNIVERSI,AL,MONTGOMERY,36918,0,0,POINT (-86.299651 32.376547),29,1593
SAINT MARY PHARMACY LL,CA,LAGUNA HILLS,40,0,800,POINT (-117.710412 33.612927),8,1174
6 PALO ALTO MEDICAL FO,CA,SUNNYVALE,739,150,0,POINT (-122.036572 37.373676),8,1334
CONTRA COSTA COUNTY FI,CA,MARTINEZ,8049815,751761,3408801,POINT (-122.134855 38.018992),8,1185
COMMUNITY PHYSICIANS O,IN,ANDERSON,0,179,0,POINT (-85.67821 40.107884),35,159
WINCHESTER PHYSICIAN A,MA,BURLINGTON,56,0,0,POINT (-71.195832 42.504986),25,1915
SKYLINE MEDICAL CENTER,TN,NASHVILLE,1811878,4026431,0,POINT (-86.779932 36.166687),39,2005
HEALTH FIRST MEDICAL G,FL,PALM BAY,0,316,0,POINT (-80.67266 27.999015),30,1053
WILLIAMS MEDICAL GROUP,OK,WEATHERFORD,53259,12938,0,POINT (-98.704959 35.526058),20,607
PASSAIC COMMUNITY PHAR,NJ,PASSAIC,0,0,48629,POINT (-74.12484 40.859885),46,2493
SOUTHWEST INFECTIOUS D,IL,PALOS HEIGHTS,0,32078,0,POINT (-87.79891 41.667958),34,1863
RESPACARE PA,NJ,SOMERVILLE,0,5510,0,POINT (-74.611731 40.56816),46,490
TRINITY MEDICAL ASSOCI,FL,TRINITY,1012,579,0,POINT (-82.669418 28.175591),30,1080
MARSHALL MEDICAL CENTE,TN,COLUMBIA,14074,9093,0,POINT (-87.048754 35.616214),39,2061
OKLAHOMA WESLEYAN UNIV,OK,BARTLESVILLE,224270,0,0,POINT (-95.944392 36.75067),20,717
DILLON COMMUNITY PHARM,SC,DILLON,40,0,8246,POINT (-79.370253 34.422241),33,1973
NEIGHBORHOOD OUTREACH,AZ,PHOENIX,7601,7286,120,POINT (-112.072585 33.448204),7,989
MAIN STREET MEDICAL LL,FL,TAMPA,1591,0,14760,POINT (-82.458776 27.947423),30,1107
COMMUNITY HEALTH CENTE,KY,GREENVILLE,10080,1404,1633,POINT (-87.17854 37.201149),36,1437
HORIZON HEALTH CARE IN,SD,FAITH,2763,883,928,POINT (-102.03554 45.02317),21,2688
